# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Full Version
# File: D:\ADC\asvm12120_fft_fast\Quartus\fast_fft\fast_fft.csv
# Generated on: Thu Feb 04 14:59:56 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,Slew Rate,Differential Pair,PCB layer
adc_data[11],Input,,,,,,adc_data[11..0],,,,
adc_data[10],Input,,,,,,adc_data[11..0],,,,
adc_data[9],Input,,,,,,adc_data[11..0],,,,
adc_data[8],Input,,,,,,adc_data[11..0],,,,
adc_data[7],Input,,,,,,adc_data[11..0],,,,
adc_data[6],Input,,,,,,adc_data[11..0],,,,
adc_data[5],Input,,,,,,adc_data[11..0],,,,
adc_data[4],Input,,,,,,adc_data[11..0],,,,
adc_data[3],Input,,,,,,adc_data[11..0],,,,
adc_data[2],Input,,,,,,adc_data[11..0],,,,
adc_data[1],Input,,,,,,adc_data[11..0],,,,
adc_data[0],Input,,,,,,adc_data[11..0],,,,
chan,Output,,,,,,,,,,
clk595,Output,,,,,,,,,,
ds,Output,,,,,,,,,,
fd[15],Output,,,,,,fd[15..0],,,,
fd[14],Output,,,,,,fd[15..0],,,,
fd[13],Output,,,,,,fd[15..0],,,,
fd[12],Output,,,,,,fd[15..0],,,,
fd[11],Output,,,,,,fd[15..0],,,,
fd[10],Output,,,,,,fd[15..0],,,,
fd[9],Output,,,,,,fd[15..0],,,,
fd[8],Output,,,,,,fd[15..0],,,,
fd[7],Output,,,,,,fd[15..0],,,,
fd[6],Output,,,,,,fd[15..0],,,,
fd[5],Output,,,,,,fd[15..0],,,,
fd[4],Output,,,,,,fd[15..0],,,,
fd[3],Output,,,,,,fd[15..0],,,,
fd[2],Output,,,,,,fd[15..0],,,,
fd[1],Output,,,,,,fd[15..0],,,,
fd[0],Output,,,,,,fd[15..0],,,,
flaga,Input,,,,,,,,,,
flagb,Input,,,,,,,,,,
ifclk,Input,,,,,,,,,,
k13,Input,,,,,,,,,,
k14,Output,,,,,,,,,,
k15,Output,,,,,,,,,,
k16,Output,,,,,,,,,,
k17,Output,,,,,,,,,,
k18,Output,,,,,,,,,,
k19,Output,,,,,,,,,,
k20,Output,,,,,,,,,,
k21,Output,,,,,,,,,,
k22,Output,,,,,,,,,,
k23,Output,,,,,,,,,,
lclk,Output,,,,,,,,,,
pe5,Input,,,,,,,,,,
pe6,Input,,,,,,,,,,
pe7,Input,,,,,,,,,,
rama0[18],Output,,,,,,rama0[18..0],,,,
rama0[17],Output,,,,,,rama0[18..0],,,,
rama0[16],Output,,,,,,rama0[18..0],,,,
rama0[15],Output,,,,,,rama0[18..0],,,,
rama0[14],Output,,,,,,rama0[18..0],,,,
rama0[13],Output,,,,,,rama0[18..0],,,,
rama0[12],Output,,,,,,rama0[18..0],,,,
rama0[11],Output,,,,,,rama0[18..0],,,,
rama0[10],Output,,,,,,rama0[18..0],,,,
rama0[9],Output,,,,,,rama0[18..0],,,,
rama0[8],Output,,,,,,rama0[18..0],,,,
rama0[7],Output,,,,,,rama0[18..0],,,,
rama0[6],Output,,,,,,rama0[18..0],,,,
rama0[5],Output,,,,,,rama0[18..0],,,,
rama0[4],Output,,,,,,rama0[18..0],,,,
rama0[3],Output,,,,,,rama0[18..0],,,,
rama0[2],Output,,,,,,rama0[18..0],,,,
rama0[1],Output,,,,,,rama0[18..0],,,,
rama0[0],Output,,,,,,rama0[18..0],,,,
rama1[18],Output,,,,,,rama1[18..0],,,,
rama1[17],Output,,,,,,rama1[18..0],,,,
rama1[16],Output,,,,,,rama1[18..0],,,,
rama1[15],Output,,,,,,rama1[18..0],,,,
rama1[14],Output,,,,,,rama1[18..0],,,,
rama1[13],Output,,,,,,rama1[18..0],,,,
rama1[12],Output,,,,,,rama1[18..0],,,,
rama1[11],Output,,,,,,rama1[18..0],,,,
rama1[10],Output,,,,,,rama1[18..0],,,,
rama1[9],Output,,,,,,rama1[18..0],,,,
rama1[8],Output,,,,,,rama1[18..0],,,,
rama1[7],Output,,,,,,rama1[18..0],,,,
rama1[6],Output,,,,,,rama1[18..0],,,,
rama1[5],Output,,,,,,rama1[18..0],,,,
rama1[4],Output,,,,,,rama1[18..0],,,,
rama1[3],Output,,,,,,rama1[18..0],,,,
rama1[2],Output,,,,,,rama1[18..0],,,,
rama1[1],Output,,,,,,rama1[18..0],,,,
rama1[0],Output,,,,,,rama1[18..0],,,,
ramd0[15],Bidir,,,,,,ramd0[15..0],,,,
ramd0[14],Bidir,,,,,,ramd0[15..0],,,,
ramd0[13],Bidir,,,,,,ramd0[15..0],,,,
ramd0[12],Bidir,,,,,,ramd0[15..0],,,,
ramd0[11],Bidir,,,,,,ramd0[15..0],,,,
ramd0[10],Bidir,,,,,,ramd0[15..0],,,,
ramd0[9],Bidir,,,,,,ramd0[15..0],,,,
ramd0[8],Bidir,,,,,,ramd0[15..0],,,,
ramd0[7],Bidir,,,,,,ramd0[15..0],,,,
ramd0[6],Bidir,,,,,,ramd0[15..0],,,,
ramd0[5],Bidir,,,,,,ramd0[15..0],,,,
ramd0[4],Bidir,,,,,,ramd0[15..0],,,,
ramd0[3],Bidir,,,,,,ramd0[15..0],,,,
ramd0[2],Bidir,,,,,,ramd0[15..0],,,,
ramd0[1],Bidir,,,,,,ramd0[15..0],,,,
ramd0[0],Bidir,,,,,,ramd0[15..0],,,,
ramd1[15],Bidir,,,,,,ramd1[15..0],,,,
ramd1[14],Bidir,,,,,,ramd1[15..0],,,,
ramd1[13],Bidir,,,,,,ramd1[15..0],,,,
ramd1[12],Bidir,,,,,,ramd1[15..0],,,,
ramd1[11],Bidir,,,,,,ramd1[15..0],,,,
ramd1[10],Bidir,,,,,,ramd1[15..0],,,,
ramd1[9],Bidir,,,,,,ramd1[15..0],,,,
ramd1[8],Bidir,,,,,,ramd1[15..0],,,,
ramd1[7],Bidir,,,,,,ramd1[15..0],,,,
ramd1[6],Bidir,,,,,,ramd1[15..0],,,,
ramd1[5],Bidir,,,,,,ramd1[15..0],,,,
ramd1[4],Bidir,,,,,,ramd1[15..0],,,,
ramd1[3],Bidir,,,,,,ramd1[15..0],,,,
ramd1[2],Bidir,,,,,,ramd1[15..0],,,,
ramd1[1],Bidir,,,,,,ramd1[15..0],,,,
ramd1[0],Bidir,,,,,,ramd1[15..0],,,,
ramoe0,Output,,,,,,,,,,
ramoe1,Output,,,,,,,,,,
ramwe0,Output,,,,,,,,,,
ramwe1,Output,,,,,,,,,,
sclk,Input,,,,,,,,,,
slrd,Output,,,,,,,,,,
slwr,Output,,,,,,,,,,
,Unknown,PIN_1,,,,,,,,,
,Unknown,PIN_2,,,,,,,,,
,Unknown,PIN_3,,,,,,,,,
,Unknown,PIN_4,1,B1_N0,,,,,,,
,Unknown,PIN_5,,,,,,,,,
,Unknown,PIN_6,1,B1_N0,,,,,,,
,Unknown,PIN_7,,,,,,,,,
,Unknown,PIN_8,,,,,,,,,
,Unknown,PIN_9,1,B1_N0,,,,,,,
,Unknown,PIN_10,,,,,,,,,
,Unknown,PIN_11,,,,,,,,,
,Unknown,PIN_12,,,,,,,,,
,Unknown,PIN_13,,,,,,,,,
,Unknown,PIN_14,1,B1_N0,,,,,,,
,Unknown,PIN_15,,,,,,,,,
,Unknown,PIN_16,,,,,,,,,
,Unknown,PIN_17,1,B1_N0,,,,,,,
,Unknown,PIN_18,1,B1_N0,,,,,,,
,Unknown,PIN_19,,,,,,,,,
,Unknown,PIN_20,,,,,,,,,
,Unknown,PIN_21,1,B1_N0,,,,,,,
,Unknown,PIN_22,1,B1_N0,,,,,,,
,Unknown,PIN_23,1,B1_N0,,,,,,,
,Unknown,PIN_24,1,B1_N0,,,,,,,
,Unknown,PIN_25,1,B1_N0,,,,,,,
,Unknown,PIN_26,1,B1_N0,,,,,,,
,Unknown,PIN_27,1,B1_N0,,,,,,,
,Unknown,PIN_28,1,B1_N0,,,,,,,
,Unknown,PIN_29,1,B1_N0,,,,,,,
,Unknown,PIN_30,1,B1_N0,,,,,,,
,Unknown,PIN_31,1,B1_N0,,,,,,,
,Unknown,PIN_32,1,B1_N0,,,,,,,
,Unknown,PIN_33,2,B2_N0,,,,,,,
,Unknown,PIN_34,2,B2_N0,,,,,,,
,Unknown,PIN_35,2,,,,,,,,
,Unknown,PIN_36,,,,,,,,,
,Unknown,PIN_37,2,B2_N0,,,,,,,
,Unknown,PIN_38,2,B2_N0,,,,,,,
,Unknown,PIN_39,2,B2_N0,,,,,,,
,Unknown,PIN_40,,,,,,,,,
,Unknown,PIN_41,2,B2_N0,,,,,,,
,Unknown,PIN_42,,,,,,,,,
,Unknown,PIN_43,2,B2_N0,,,,,,,
,Unknown,PIN_44,2,B2_N0,,,,,,,
,Unknown,PIN_45,2,B2_N0,,,,,,,
,Unknown,PIN_46,2,B2_N0,,,,,,,
,Unknown,PIN_47,2,,,,,,,,
,Unknown,PIN_48,,,,,,,,,
,Unknown,PIN_49,2,B2_N0,,,,,,,
,Unknown,PIN_50,2,B2_N0,,,,,,,
,Unknown,PIN_51,2,B2_N0,,,,,,,
,Unknown,PIN_52,2,B2_N0,,,,,,,
,Unknown,PIN_53,,,,,,,,,
,Unknown,PIN_54,,,,,,,,,
,Unknown,PIN_55,2,B2_N0,,,,,,,
,Unknown,PIN_56,2,B2_N0,,,,,,,
,Unknown,PIN_57,2,B2_N0,,,,,,,
,Unknown,PIN_58,,,,,,,,,
,Unknown,PIN_59,,,,,,,,,
,Unknown,PIN_60,,,,,,,,,
,Unknown,PIN_61,,,,,,,,,
,Unknown,PIN_62,,,,,,,,,
,Unknown,PIN_63,3,B3_N0,,,,,,,
,Unknown,PIN_64,3,B3_N0,,,,,,,
,Unknown,PIN_65,3,B3_N0,,,,,,,
,Unknown,PIN_66,3,,,,,,,,
,Unknown,PIN_67,,,,,,,,,
,Unknown,PIN_68,3,B3_N0,,,,,,,
,Unknown,PIN_69,3,B3_N0,,,,,,,
,Unknown,PIN_70,3,B3_N0,,,,,,,
,Unknown,PIN_71,3,B3_N0,,,,,,,
,Unknown,PIN_72,3,B3_N0,,,,,,,
,Unknown,PIN_73,3,B3_N0,,,,,,,
,Unknown,PIN_74,,,,,,,,,
,Unknown,PIN_75,,,,,,,,,
,Unknown,PIN_76,3,B3_N0,,,,,,,
,Unknown,PIN_77,3,,,,,,,,
,Unknown,PIN_78,3,B3_N0,,,,,,,
,Unknown,PIN_79,,,,,,,,,
,Unknown,PIN_80,3,B3_N0,,,,,,,
,Unknown,PIN_81,3,B3_N0,,,,,,,
,Unknown,PIN_82,3,B3_N0,,,,,,,
,Unknown,PIN_83,3,B3_N0,,,,,,,
,Unknown,PIN_84,3,B3_N0,,,,,,,
,Unknown,PIN_85,,,,,,,,,
,Unknown,PIN_86,,,,,,,,,
,Unknown,PIN_87,3,B3_N0,,,,,,,
,Unknown,PIN_88,3,B3_N0,,,,,,,
,Unknown,PIN_89,3,B3_N0,,,,,,,
,Unknown,PIN_90,3,B3_N0,,,,,,,
,Unknown,PIN_91,4,B4_N0,,,,,,,
,Unknown,PIN_92,4,B4_N0,,,,,,,
,Unknown,PIN_93,4,B4_N0,,,,,,,
,Unknown,PIN_94,4,B4_N0,,,,,,,
,Unknown,PIN_95,4,B4_N0,,,,,,,
,Unknown,PIN_96,4,,,,,,,,
,Unknown,PIN_97,,,,,,,,,
